municipio,confirmados,mortes,dt_sintoma,dt_obito,dt_evento,dt_coleta_dt_notif
RIO DE JANEIRO,164782,14743,166986.0,15211.0,167013.0,170806.0
NITEROI,22764,690,23991.0,706.0,23994.0,23883.0
SAO GONCALO,18090,993,18556.0,1037.0,18556.0,18440.0
BELFORD ROXO,13498,374,14638.0,378.0,14638.0,14570.0
DUQUE DE CAXIAS,13118,908,13465.0,922.0,13465.0,13326.0
MACAE,12525,226,13260.0,231.0,13260.0,13050.0
VOLTA REDONDA,12359,290,13574.0,305.0,13574.0,13342.0
TERESOPOLIS,12111,261,12867.0,282.0,12867.0,12344.0
CAMPOS DOS GOYTACAZES,11706,527,12494.0,547.0,12494.0,12404.0
NOVA IGUACU,9656,859,10026.0,884.0,10026.0,9900.0
ANGRA DOS REIS,8097,241,8580.0,270.0,8580.0,8568.0
NOVA FRIBURGO,6615,207,7221.0,219.0,7221.0,6843.0
BARRA MANSA,5540,207,6014.0,210.0,6015.0,5842.0
ITABORAI,5436,286,5533.0,285.0,5533.0,5506.0
MAGE,5261,287,5316.0,313.0,5316.0,5309.0
MARICA,5222,178,5634.0,178.0,5634.0,5610.0
SAO JOAO DE MERITI,4937,580,5056.0,585.0,5056.0,4996.0
CABO FRIO,4689,224,5228.0,230.0,5237.0,5193.0
ITAPERUNA,4347,100,4570.0,101.0,4570.0,4511.0
TRES RIOS,4272,89,4334.0,83.0,4334.0,4316.0
RESENDE,4143,165,5131.0,171.0,5131.0,5127.0
PETROPOLIS,3883,326,4030.0,327.0,4030.0,3953.0
RIO DAS OSTRAS,3611,115,3748.0,124.0,3748.0,3696.0
ITAGUAI,3235,165,3373.0,170.0,3373.0,3367.0
QUEIMADOS,3146,93,3321.0,97.0,3321.0,3188.0
RIO BONITO,2943,87,3151.0,93.0,3151.0,3109.0
GUAPIMIRIM,2918,88,2958.0,93.0,2958.0,2953.0
ARARUAMA,2205,89,2313.0,88.0,2313.0,2308.0
MESQUITA,2097,218,2143.0,217.0,2143.0,2123.0
NILOPOLIS,2078,256,2133.0,261.0,2133.0,2118.0
SAO JOAO DA BARRA,1964,13,2035.0,13.0,2035.0,1994.0
BARRA DO PIRAI,1866,85,2192.0,92.0,2192.0,2142.0
CASIMIRO DE ABREU,1806,46,1928.0,46.0,1928.0,1921.0
PIRAI,1721,16,1807.0,16.0,1807.0,1787.0
SAO PEDRO DA ALDEIA,1705,76,1779.0,77.0,1783.0,1763.0
SANTO ANTONIO DE PADUA,1672,28,1836.0,28.0,1836.0,1815.0
PARAIBA DO SUL,1670,26,1750.0,26.0,1750.0,1730.0
SAQUAREMA,1525,102,1579.0,100.0,1579.0,1538.0
IGUABA GRANDE,1478,46,1534.0,48.0,1534.0,1525.0
MANGARATIBA,1476,46,1567.0,48.0,1567.0,1559.0
TANGUA,1430,54,1540.0,56.0,1540.0,1494.0
ARMACAO DOS BUZIOS,1303,22,1646.0,22.0,1646.0,1643.0
PARACAMBI,1288,46,1358.0,44.0,1358.0,1337.0
VARRE-SAI,1278,3,1317.0,3.0,1317.0,1300.0
PORCIUNCULA,1271,34,1322.0,34.0,1322.0,1281.0
VALENCA,1168,32,1198.0,32.0,1198.0,1194.0
VASSOURAS,1158,29,1225.0,29.0,1225.0,1223.0
PARATY,1148,41,1182.0,42.0,1182.0,1176.0
SEROPEDICA,1123,85,1141.0,83.0,1141.0,1133.0
PINHEIRAL,1115,22,1229.0,22.0,1229.0,1187.0
CONCEICAO DE MACABU,1109,23,1152.0,23.0,1152.0,1117.0
BOM JESUS DO ITABAPOANA,1105,23,1150.0,26.0,1150.0,1130.0
SAO JOSE DO VALE DO RIO PRETO,1075,20,1118.0,20.0,1118.0,1105.0
CORDEIRO,1028,2,1126.0,3.0,1126.0,1093.0
CACHOEIRAS DE MACACU,993,43,1029.0,43.0,1029.0,1007.0
CANTAGALO,975,6,1060.0,6.0,1060.0,1026.0
QUISSAMA,970,28,1023.0,29.0,1023.0,1014.0
SAPUCAIA,948,37,991.0,42.0,991.0,987.0
SAO FRANCISCO DE ITABAPOANA,901,23,916.0,23.0,916.0,905.0
MIRACEMA,852,5,909.0,5.0,909.0,905.0
CARAPEBUS,847,5,884.0,5.0,884.0,870.0
ITAOCARA,781,38,828.0,39.0,828.0,816.0
NATIVIDADE,775,8,839.0,8.0,839.0,831.0
MIGUEL PEREIRA,735,23,879.0,22.0,879.0,854.0
MENDES,717,3,858.0,3.0,858.0,850.0
PORTO REAL,695,26,811.0,26.0,811.0,811.0
CARMO,681,6,759.0,5.0,759.0,745.0
JAPERI,680,47,713.0,46.0,713.0,705.0
RIO CLARO,623,24,700.0,24.0,700.0,681.0
ENGENHEIRO PAULO DE FRONTIN,600,9,673.0,8.0,673.0,661.0
CARDOSO MOREIRA,590,5,637.0,4.0,637.0,631.0
ITATIAIA,567,15,608.0,15.0,608.0,608.0
SILVA JARDIM,501,10,505.0,10.0,505.0,501.0
LAJE DO MURIAE,437,2,450.0,2.0,450.0,449.0
PATY DO ALFERES,419,8,564.0,5.0,564.0,561.0
BOM JARDIM,404,5,462.0,5.0,462.0,414.0
ITALVA,378,12,380.0,12.0,380.0,378.0
SUMIDOURO,359,15,401.0,14.0,401.0,397.0
CAMBUCI,358,7,374.0,7.0,374.0,365.0
ARRAIAL DO CABO,346,9,379.0,9.0,379.0,369.0
SAO FIDELIS,335,35,344.0,7.0,344.0,341.0
AREAL,322,10,327.0,10.0,327.0,322.0
QUATIS,268,3,337.0,5.0,337.0,329.0
APERIBE,253,9,253.0,9.0,253.0,253.0
MACUCO,250,3,274.0,3.0,274.0,270.0
SAO JOSE DE UBA,207,5,207.0,5.0,207.0,207.0
SANTA MARIA MADALENA,188,5,190.0,5.0,190.0,190.0
COMENDADOR LEVY GASPARIAN,177,5,177.0,5.0,177.0,177.0
TRAJANO DE MORAES,175,1,191.0,1.0,191.0,179.0
SAO SEBASTIAO DO ALTO,158,6,183.0,6.0,183.0,174.0
DUAS BARRAS,107,5,110.0,5.0,110.0,108.0
RIO DAS FLORES,35,5,35.0,5.0,35.0,35.0
TOTAL NO ESTADO,428373,25303,446615.0,26034.0,446659.0,446814.0
Importados/Indefinidos,0,0,,,,
